M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
0.0001	1e+05	1000	0.27798	0.21287	0.30476	0.32857
0.0001	1e+05	10000	0.24735	0.13692	0.17619	0.21905
0.0001	1e+05	1e+05	0.24649	0.1236	0.18095	0.21429
0.0001	1e+05	1e+06	0.24476	0.11513	0.18095	0.20476
0.001	1e-05	10	0.33526	0.35453	0.45238	0.5
0.001	1e-05	100	0.24642	0.11763	0.15714	0.20476
0.001	1e-05	1000	0.24487	0.1091	0.17143	0.20476
0.001	1e-05	10000	0.24303	0.090708	0.16667	0.19048
0.001	1e-05	1e+05	0.24762	0.12424	0.17619	0.20952
0.001	1e-05	1e+06	0.2437	0.10055	0.17143	0.2
0.001	0.0001	10	0.3449	0.35947	0.48571	0.49524
0.001	0.0001	100	0.2597	0.21194	0.22381	0.27143
0.001	0.0001	1000	0.2441	0.10569	0.17143	0.2
0.001	0.0001	10000	0.24555	0.11822	0.17143	0.20952
0.001	0.0001	1e+05	0.25041	0.15246	0.17143	0.22381
0.001	0.0001	1e+06	0.2449	0.11052	0.17143	0.20476
0.001	0.001	10	0.3954	0.43052	0.46667	0.51905
0.001	0.001	100	0.24461	0.097381	0.1619	0.19524
0.001	0.001	1000	0.2466	0.12272	0.17619	0.21429
0.001	0.001	10000	0.24612	0.12489	0.17619	0.21429
0.001	0.001	1e+05	0.24684	0.12542	0.17619	0.21429
0.001	0.001	1e+06	0.24306	0.10309	0.17143	0.2
0.001	0.01	10	0.40939	0.42918	0.52857	0.53333
0.001	0.01	100	0.30318	0.26579	0.29524	0.34762
0.001	0.01	1000	0.24239	0.072958	0.1619	0.18095
0.001	0.01	10000	0.24534	0.11852	0.18095	0.20952
0.001	0.01	1e+05	0.24402	0.10365	0.17143	0.2
0.001	0.01	1e+06	0.24364	0.087727	0.1619	0.19048
0.001	0.1	10	0.50072	0.51629	0.63333	0.6381
0.001	0.1	100	0.47515	0.48655	0.65238	0.65238
